Notes,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Race,Race Code,Deaths,Population
,2011,2011,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,50,382824
,2011,2011,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,107,1162055
,2011,2011,5-14 years,14-May,Male,M,Black or African American,2054-5,701,3411381
,2011,2011,5-14 years,14-May,Male,M,White,2106-3,2321,16014957
Total,2011,2011,5-14 years,14-May,Male,M,,,3179,20971217
Total,2011,2011,5-14 years,14-May,,,,,5401,41039048
,2011,2011,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,167,368172
,2011,2011,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,195,1226063
,2011,2011,15-24 years,15-24,Female,F,Black or African American,2054-5,1566,3597789
,2011,2011,15-24 years,15-24,Female,F,White,2106-3,5815,16174205
Total,2011,2011,15-24 years,15-24,Female,F,,,7743,21366229
,2011,2011,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,422,394567
,2011,2011,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,539,1268715
,2011,2011,15-24 years,15-24,Male,M,Black or African American,2054-5,5124,3651661
,2011,2011,15-24 years,15-24,Male,M,White,2106-3,15839,17116703
Total,2011,2011,15-24 years,15-24,Male,M,,,21924,22431646
Total,2011,2011,15-24 years,15-24,,,,,29667,43797875
,2011,2011,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,283,321417
,2011,2011,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,375,1523778
,2011,2011,25-34 years,25-34,Female,F,Black or African American,2054-5,2965,3122987
,2011,2011,25-34 years,25-34,Female,F,White,2106-3,10040,15778153
Total,2011,2011,25-34 years,25-34,Female,F,,,13663,20746335
,2011,2011,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,558,344608
,2011,2011,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,749,1390197
,2011,2011,25-34 years,25-34,Male,M,Black or African American,2054-5,6103,2876283
,2011,2011,25-34 years,25-34,Male,M,White,2106-3,22675,16433075
Total,2011,2011,25-34 years,25-34,Male,M,,,30085,21044163
Total,2011,2011,25-34 years,25-34,,,,,43748,41790498
,2011,2011,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,467,283174
,2011,2011,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,782,1490607
,2011,2011,35-44 years,35-44,Female,F,Black or African American,2054-5,5827,2934906
,2011,2011,35-44 years,35-44,Female,F,White,2106-3,19602,15695797
Total,2011,2011,35-44 years,35-44,Female,F,,,26678,20404484
,2011,2011,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,734,292515
,2011,2011,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1123,1333988
,2011,2011,35-44 years,35-44,Male,M,Black or African American,2054-5,7962,2612286
,2011,2011,35-44 years,35-44,Male,M,White,2106-3,33396,15984681
Total,2011,2011,35-44 years,35-44,Male,M,,,43215,20223470
Total,2011,2011,35-44 years,35-44,,,,,69893,40627954
,2011,2011,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,930,276312
,2011,2011,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1624,1247324
,2011,2011,45-54 years,45-54,Female,F,Black or African American,2054-5,14338,3066612
,2011,2011,45-54 years,45-54,Female,F,White,2106-3,54646,18108708
Total,2011,2011,45-54 years,45-54,Female,F,,,71538,22698956
,2011,2011,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,1347,269072
,2011,2011,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,2389,1101754
,2011,2011,45-54 years,45-54,Male,M,Black or African American,2054-5,19193,2717303
,2011,2011,45-54 years,45-54,Male,M,White,2106-3,88780,17931118
Total,2011,2011,45-54 years,45-54,Male,M,,,111709,22019247
Total,2011,2011,45-54 years,45-54,,,,,183247,44718203
,2011,2011,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,1176,192307
,2011,2011,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,2974,979140
,2011,2011,55-64 years,55-64,Female,F,Black or African American,2054-5,22200,2331287
,2011,2011,55-64 years,55-64,Female,F,White,2106-3,100324,16201201
Total,2011,2011,55-64 years,55-64,Female,F,,,126674,19703935
,2011,2011,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,1606,179489
,2011,2011,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,4070,809532
,2011,2011,55-64 years,55-64,Male,M,Black or African American,2054-5,31599,1946428
,2011,2011,55-64 years,55-64,Male,M,White,2106-3,159366,15422756
Total,2011,2011,55-64 years,55-64,Male,M,,,196641,18358205
Total,2011,2011,55-64 years,55-64,,,,,323315,38062140
,2011,2011,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1286,93453
,2011,2011,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,3780,525453
,2011,2011,65-74 years,65-74,Female,F,Black or African American,2054-5,24374,1237777
,2011,2011,65-74 years,65-74,Female,F,White,2106-3,151336,10148742
Total,2011,2011,65-74 years,65-74,Female,F,,,180776,12005425
,2011,2011,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1570,82279
,2011,2011,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,5095,436536
,2011,2011,65-74 years,65-74,Male,M,Black or African American,2054-5,28908,924403
,2011,2011,65-74 years,65-74,Male,M,White,2106-3,198703,9033095
Total,2011,2011,65-74 years,65-74,Male,M,,,234276,10476313
Total,2011,2011,65-74 years,65-74,,,,,415052,22481738
,2011,2011,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1444,43747
,2011,2011,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,6908,282420
,2011,2011,75-84 years,75-84,Female,F,Black or African American,2054-5,31587,696468
,2011,2011,75-84 years,75-84,Female,F,White,2106-3,273593,6579562
Total,2011,2011,75-84 years,75-84,Female,F,,,313532,7602197
,2011,2011,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1349,31812
,2011,2011,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,6643,200623
,2011,2011,75-84 years,75-84,Male,M,Black or African American,2054-5,26367,414645
,2011,2011,75-84 years,75-84,Male,M,White,2106-3,278334,4925953
Total,2011,2011,75-84 years,75-84,Male,M,,,312693,5573033
Total,2011,2011,75-84 years,75-84,,,,,626225,13175230
,2011,2011,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,1305,15447
,2011,2011,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,8669,105055
,2011,2011,85+ years,85+,Female,F,Black or African American,2054-5,36189,292691
,2011,2011,85+ years,85+,Female,F,White,2106-3,458957,3429955
Total,2011,2011,85+ years,85+,Female,F,,,505120,3843148
,2011,2011,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,754,8223
,2011,2011,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,6212,61242
,2011,2011,85+ years,85+,Male,M,Black or African American,2054-5,16254,114793
,2011,2011,85+ years,85+,Male,M,White,2106-3,262205,1709767
Total,2011,2011,85+ years,85+,Male,M,,,285425,1894025
Total,2011,2011,85+ years,85+,,,,,790545,5737173
,2011,2011,Not Stated,NS,Female,F,American Indian or Alaska Native,1002-5,2,Not Applicable
,2011,2011,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,2,Not Applicable
,2011,2011,Not Stated,NS,Female,F,Black or African American,2054-5,7,Not Applicable
,2011,2011,Not Stated,NS,Female,F,White,2106-3,24,Not Applicable
Total,2011,2011,Not Stated,NS,Female,F,,,35,Not Applicable
,2011,2011,Not Stated,NS,Male,M,American Indian or Alaska Native,1002-5,3,Not Applicable
,2011,2011,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,1,Not Applicable
,2011,2011,Not Stated,NS,Male,M,Black or African American,2054-5,20,Not Applicable
,2011,2011,Not Stated,NS,Male,M,White,2106-3,75,Not Applicable
Total,2011,2011,Not Stated,NS,Male,M,,,99,Not Applicable
Total,2011,2011,Not Stated,NS,,,,,134,Not Applicable
Total,2011,2011,,,,,,,2515458,311591917
,2012,2012,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,162,38034
,2012,2012,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,395,113169
,2012,2012,< 1 year,1,Female,F,Black or African American,2054-5,3123,330701
,2012,2012,< 1 year,1,Female,F,White,2106-3,6810,1444435
Total,2012,2012,< 1 year,1,Female,F,,,10490,1926339
,2012,2012,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,207,39172
,2012,2012,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,512,118822
,2012,2012,< 1 year,1,Male,M,Black or African American,2054-5,3972,346206
,2012,2012,< 1 year,1,Male,M,White,2106-3,8448,1512538
Total,2012,2012,< 1 year,1,Male,M,,,13139,2016738
Total,2012,2012,< 1 year,1,,,,,23629,3943077
,2012,2012,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,35,154071
,2012,2012,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,70,474028
,2012,2012,1-4 years,4-Jan,Female,F,Black or African American,2054-5,443,1344076
,2012,2012,1-4 years,4-Jan,Female,F,White,2106-3,1275,5884695
Total,2012,2012,1-4 years,4-Jan,Female,F,,,1823,7856870
,2012,2012,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,54,157823
,2012,2012,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,80,492137
,2012,2012,1-4 years,4-Jan,Male,M,Black or African American,2054-5,578,1390625
,2012,2012,1-4 years,4-Jan,Male,M,White,2106-3,1683,6158812
Total,2012,2012,1-4 years,4-Jan,Male,M,,,2395,8199397
Total,2012,2012,1-4 years,4-Jan,,,,,4218,16056267
,2012,2012,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,36,375339
,2012,2012,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,84,1174515
,2012,2012,5-14 years,14-May,Female,F,Black or African American,2054-5,465,3314489
,2012,2012,5-14 years,14-May,Female,F,White,2106-3,1579,15254004
Total,2012,2012,5-14 years,14-May,Female,F,,,2164,20118347
,2012,2012,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,65,385902
,2012,2012,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,108,1195166
,2012,2012,5-14 years,14-May,Male,M,Black or African American,2054-5,731,3432490
,2012,2012,5-14 years,14-May,Male,M,White,2106-3,2132,16012849
Total,2012,2012,5-14 years,14-May,Male,M,,,3036,21026407
Total,2012,2012,5-14 years,14-May,,,,,5200,41144754
,2012,2012,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,177,371232
,2012,2012,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,232,1262212
,2012,2012,15-24 years,15-24,Female,F,Black or African American,2054-5,1578,3622104
,2012,2012,15-24 years,15-24,Female,F,White,2106-3,5739,16176040
Total,2012,2012,15-24 years,15-24,Female,F,,,7726,21431588
,2012,2012,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,427,395673
,2012,2012,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,540,1300843
,2012,2012,15-24 years,15-24,Male,M,Black or African American,2054-5,5127,3697796
,2012,2012,15-24 years,15-24,Male,M,White,2106-3,15362,17118005
Total,2012,2012,15-24 years,15-24,Male,M,,,21456,22512317
Total,2012,2012,15-24 years,15-24,,,,,29182,43943905
,2012,2012,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,321,324867
,2012,2012,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,386,1582007
,2012,2012,25-34 years,25-34,Female,F,Black or African American,2054-5,2838,3170806
,2012,2012,25-34 years,25-34,Female,F,White,2106-3,10263,15892849
Total,2012,2012,25-34 years,25-34,Female,F,,,13808,20970529
,2012,2012,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,613,349693
,2012,2012,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,796,1450883
,2012,2012,25-34 years,25-34,Male,M,Black or African American,2054-5,6267,2944482
,2012,2012,25-34 years,25-34,Male,M,White,2106-3,23107,16593734
Total,2012,2012,25-34 years,25-34,Male,M,,,30783,21338792
Total,2012,2012,25-34 years,25-34,,,,,44591,42309321
,2012,2012,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,463,285449
,2012,2012,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,777,1543068
,2012,2012,35-44 years,35-44,Female,F,Black or African American,2054-5,5674,2941200
,2012,2012,35-44 years,35-44,Female,F,White,2106-3,19319,15573096
Total,2012,2012,35-44 years,35-44,Female,F,,,26233,20342813
,2012,2012,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,735,295651
,2012,2012,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1266,1376255
,2012,2012,35-44 years,35-44,Male,M,Black or African American,2054-5,8019,2619646
,2012,2012,35-44 years,35-44,Male,M,White,2106-3,32909,15882055
Total,2012,2012,35-44 years,35-44,Male,M,,,42929,20173607
Total,2012,2012,35-44 years,35-44,,,,,69162,40516420
,2012,2012,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,912,276700
,2012,2012,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1662,1275996
,2012,2012,45-54 years,45-54,Female,F,Black or African American,2054-5,14103,3055924
,2012,2012,45-54 years,45-54,Female,F,White,2106-3,53572,17853248
Total,2012,2012,45-54 years,45-54,Female,F,,,70249,22461868
,2012,2012,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,1352,269981
,2012,2012,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,2443,1128254
,2012,2012,45-54 years,45-54,Male,M,Black or African American,2054-5,18852,2707346
,2012,2012,45-54 years,45-54,Male,M,White,2106-3,86567,17701289
Total,2012,2012,45-54 years,45-54,Male,M,,,109214,21806870
Total,2012,2012,45-54 years,45-54,,,,,179463,44268738
,2012,2012,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,1176,200285
,2012,2012,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,3085,1023275
,2012,2012,55-64 years,55-64,Female,F,Black or African American,2054-5,22996,2419636
,2012,2012,55-64 years,55-64,Female,F,White,2106-3,101398,16340112
Total,2012,2012,55-64 years,55-64,Female,F,,,128655,19983308
,2012,2012,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,1746,185911
,2012,2012,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,4284,846795
,2012,2012,55-64 years,55-64,Male,M,Black or African American,2054-5,32662,2021385
,2012,2012,55-64 years,55-64,Male,M,White,2106-3,162259,15548803
Total,2012,2012,55-64 years,55-64,Male,M,,,200951,18602894
Total,2012,2012,55-64 years,55-64,,,,,329606,38586202
,2012,2012,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1396,100409
,2012,2012,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,4162,568687
,2012,2012,65-74 years,65-74,Female,F,Black or African American,2054-5,25033,1304676
,2012,2012,65-74 years,65-74,Female,F,White,2106-3,156820,10808758
Total,2012,2012,65-74 years,65-74,Female,F,,,187411,12782530
,2012,2012,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1731,88818
,2012,2012,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,5200,468808
,2012,2012,65-74 years,65-74,Male,M,Black or African American,2054-5,30118,978519
,2012,2012,65-74 years,65-74,Male,M,White,2106-3,207886,9666717
Total,2012,2012,65-74 years,65-74,Male,M,,,244935,11202862
Total,2012,2012,65-74 years,65-74,,,,,432346,23985392
,2012,2012,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1474,45258
,2012,2012,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,6934,297516
,2012,2012,75-84 years,75-84,Female,F,Black or African American,2054-5,31039,706069
,2012,2012,75-84 years,75-84,Female,F,White,2106-3,270300,6575641
Total,2012,2012,75-84 years,75-84,Female,F,,,309747,7624484
,2012,2012,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1387,33101
,2012,2012,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,6898,214358
,2012,2012,75-84 years,75-84,Male,M,Black or African American,2054-5,27217,424153
,2012,2012,75-84 years,75-84,Male,M,White,2106-3,275179,4976538
Total,2012,2012,75-84 years,75-84,Male,M,,,310681,5648150
Total,2012,2012,75-84 years,75-84,,,,,620428,13272634
,2012,2012,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,1308,16376
,2012,2012,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,9744,115055
,2012,2012,85+ years,85+,Female,F,Black or African American,2054-5,37332,307270
,2012,2012,85+ years,85+,Female,F,White,2106-3,462820,3484596
Total,2012,2012,85+ years,85+,Female,F,,,511204,3923297
,2012,2012,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,749,8691
,2012,2012,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,6688,66110
,2012,2012,85+ years,85+,Male,M,Black or African American,2054-5,17012,123493
,2012,2012,85+ years,85+,Male,M,White,2106-3,269654,1765739
Total,2012,2012,85+ years,85+,Male,M,,,294103,1964033
Total,2012,2012,85+ years,85+,,,,,805307,5887330
,2012,2012,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,2,Not Applicable
,2012,2012,Not Stated,NS,Female,F,Black or African American,2054-5,12,Not Applicable
,2012,2012,Not Stated,NS,Female,F,White,2106-3,33,Not Applicable
Total,2012,2012,Not Stated,NS,Female,F,,,47,Not Applicable
,2012,2012,Not Stated,NS,Male,M,American Indian or Alaska Native,1002-5,1,Not Applicable
,2012,2012,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,4,Not Applicable
,2012,2012,Not Stated,NS,Male,M,Black or African American,2054-5,31,Not Applicable
,2012,2012,Not Stated,NS,Male,M,White,2106-3,64,Not Applicable
Total,2012,2012,Not Stated,NS,Male,M,,,100,Not Applicable
Total,2012,2012,Not Stated,NS,,,,,147,Not Applicable
Total,2012,2012,,,,,,,2543279,313914040
,2013,2013,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,118,38574
,2013,2013,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,381,115688
,2013,2013,< 1 year,1,Female,F,Black or African American,2054-5,3245,330884
,2013,2013,< 1 year,1,Female,F,White,2106-3,6577,1439910
Total,2013,2013,< 1 year,1,Female,F,,,10321,1925056
,2013,2013,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,197,39928
,2013,2013,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,496,121308
,2013,2013,< 1 year,1,Male,M,Black or African American,2054-5,3878,346221
,2013,2013,< 1 year,1,Male,M,White,2106-3,8548,1509270
Total,2013,2013,< 1 year,1,Male,M,,,13119,2016727
Total,2013,2013,< 1 year,1,,,,,23440,3941783
,2013,2013,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,39,152694
,2013,2013,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,88,479207
,2013,2013,1-4 years,4-Jan,Female,F,Black or African American,2054-5,445,1332784
,2013,2013,1-4 years,4-Jan,Female,F,White,2106-3,1173,5825929
Total,2013,2013,1-4 years,4-Jan,Female,F,,,1745,7790614
,2013,2013,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,65,156649
,2013,2013,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,96,497078
,2013,2013,1-4 years,4-Jan,Male,M,Black or African American,2054-5,561,1381149
,2013,2013,1-4 years,4-Jan,Male,M,White,2106-3,1601,6100815
Total,2013,2013,1-4 years,4-Jan,Male,M,,,2323,8135691
Total,2013,2013,1-4 years,4-Jan,,,,,4068,15926305
,2013,2013,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,41,377701
